lon,lat,result_discrete,prob
-143,74,3,0.9999047517776489
-142,74,3,1.0
-141,74,3,1.0
-140,74,3,0.999508261680603
-139,74,3,1.0
-138,74,3,1.0
-137,74,3,0.9997264742851257
-136,74,3,0.9999681711196899
-135,74,3,1.0
-134,74,3,1.0
-133,74,3,0.9999486207962036
-132,74,3,1.0
-131,74,3,0.9999575614929199
-130,74,3,0.9999996423721313
-129,74,3,0.9987012147903442
-128,74,3,1.0
-127,74,3,1.0
-126,74,3,0.9999915361404419
-125,74,3,0.9999991655349731
-116,74,3,0.9999480247497559
-115,74,3,0.9999759197235107
-114,74,3,0.8342201709747314
-113,74,3,0.9992552399635315
-112,74,3,0.9996902942657471
-111,74,3,1.0
-110,74,3,1.0
-109,74,3,1.0
-108,74,3,0.9999996423721313
-107,74,3,0.9961013793945312
-106,74,3,0.99817955493927
-105,74,3,0.7567124962806702
-104,74,3,0.9846295714378357
-103,74,3,0.950330376625061
-102,74,3,0.9999328851699829
-101,74,3,0.9998681545257568
-100,74,3,0.999944806098938
-99,74,3,0.9996622800827026
-97,74,3,0.9049606919288635
-96,74,3,0.959372341632843
-92,74,3,0.978908896446228
-91,74,3,0.9625978469848633
-89,74,3,0.9631255865097046
-88,74,3,0.8364101052284241
-87,74,3,0.7708151936531067
-86,74,3,0.9439221620559692
-85,74,3,0.7995463013648987
-84,74,3,0.8962442874908447
-83,74,3,0.5666078925132751
-82,74,3,0.5693985819816589
-81,74,11,0.6785956025123596
-80,74,11,0.49118542671203613
-79,74,11,0.6039668917655945
-78,74,3,0.9793135523796082
-77,74,11,0.8455683588981628
-76,74,11,0.6830686926841736
-75,74,3,0.8759673237800598
-74,74,3,0.8772256374359131
-73,74,3,0.8122799396514893
-72,74,11,0.5412644743919373
-71,74,11,0.7881937623023987
-70,74,11,0.9660250544548035
-69,74,11,0.9907935261726379
-68,74,11,0.994918167591095
-67,74,11,0.9492795467376709
-66,74,11,0.8892175555229187
-65,74,3,0.9718331098556519
-64,74,3,0.9622073173522949
-63,74,3,0.9731577634811401
-62,74,3,0.994780957698822
-61,74,3,0.9999204874038696
-60,74,3,0.9998972415924072
-59,74,3,0.9998032450675964
-58,74,3,0.9999783039093018
-57,74,3,0.9570246338844299
-22,74,3,0.402303546667099
-21,74,3,0.9784745573997498
-20,74,11,0.5752341747283936
-19,74,3,0.5071308612823486
-18,74,3,0.9025751948356628
-17,74,3,0.5135126113891602
-16,74,3,0.4845131039619446
-15,74,11,0.838830828666687
-14,74,11,0.9214980602264404
-13,74,3,0.9358106851577759
-12,74,3,0.9543114900588989
-11,74,11,0.5775508284568787
-10,74,11,0.7376578450202942
-9,74,11,0.46094685792922974
-8,74,11,0.8753432631492615
-7,74,11,0.57260662317276
-6,74,11,0.833968997001648
-5,74,11,0.9658495187759399
-4,74,11,0.932275116443634
-3,74,3,0.5792656540870667
-2,74,3,0.5752854943275452
-1,74,3,0.5226662755012512
0,74,3,0.8238575458526611
1,74,3,0.6321449279785156
2,74,3,0.5810093879699707
3,74,1,0.7206528186798096
4,74,1,0.6684399843215942
5,74,1,0.6444893479347229
6,74,1,0.9871516227722168
7,74,11,0.3833601474761963
8,74,1,0.49724850058555603
9,74,4,0.4311812222003937
10,74,3,0.6075978875160217
11,74,11,0.3284268081188202
12,74,3,0.49024394154548645
13,74,11,0.5584046840667725
14,74,11,0.8018713593482971
15,74,11,0.4842013418674469
16,74,11,0.6784427165985107
17,74,11,0.6610903143882751
18,74,11,0.7840887308120728
19,74,3,0.38702452182769775
20,74,3,0.7824817895889282
21,74,3,0.7272678017616272
22,74,3,0.978059709072113
23,74,3,0.8286999464035034
24,74,11,0.46891164779663086
25,74,11,0.8302714824676514
26,74,11,0.6787370443344116
27,74,11,0.9926363229751587
28,74,11,0.981715738773346
29,74,11,0.9850976467132568
30,74,11,0.9914002418518066
31,74,11,0.9642515778541565
32,74,11,0.9923965334892273
33,74,11,0.9710355401039124
34,74,11,0.8757883906364441
35,74,11,0.9236737489700317
36,74,11,0.9012387990951538
37,74,11,0.8894437551498413
38,74,11,0.794870138168335
39,74,11,0.6886356472969055
40,74,1,0.7779172658920288
41,74,1,0.7358788251876831
42,74,1,0.6173202395439148
43,74,11,0.6558535099029541
44,74,11,0.7224003672599792
45,74,11,0.45867952704429626
46,74,11,0.5027284622192383
47,74,11,0.6959133744239807
48,74,3,0.7024606466293335
49,74,3,0.9894784092903137
50,74,3,0.9981770515441895
51,74,3,0.9979938268661499
52,74,3,0.9901325702667236
53,74,3,0.9726477265357971
54,74,3,0.9609595537185669
58,74,3,0.6591545343399048
59,74,3,0.8436600565910339
60,74,11,0.5128323435783386
61,74,3,0.9908409118652344
