longitude,latitude,lithology,bathymetry,nitrate,oxygen,phosphate,productivity,salinity,silicate,temperature
-160,71,1,-69.0,3.626367092,8.166949272,0.391562492,766.4784546,28.66301918,15.05093765,1.60008204
-152,71,1,-17.0,3.892585993,8.519820213,0.410117179,1542.425171,29.19296074,8.779773712,2.315159082
-151,71,1,-21.0,3.889437437,8.534589767,0.420296878,1323.476929,29.28911018,8.181398392,2.240427017
-151,71,1,-21.0,3.889437437,8.534589767,0.420296878,1323.476929,29.28911018,8.181398392,2.240427017
-151,71,1,-21.0,3.889437437,8.534589767,0.420296878,1323.476929,29.28911018,8.181398392,2.240427017
-150,71,1,-29.0,3.874843597,8.549562454,0.435390651,1073.135132,29.35817909,7.664617062,2.138793945
-150,71,1,-29.0,3.874843597,8.549562454,0.435390651,1073.135132,29.35817909,7.664617062,2.138793945
-149,71,2,-36.0,3.859390497,8.565799712999999,0.452078134,830.9170532,29.40163994,7.307570457000001,2.0122339730000003
-149,71,2,-36.0,3.859390497,8.565799712999999,0.452078134,830.9170532,29.40163994,7.307570457000001,2.0122339730000003
-148,71,2,-50.0,3.852070332,8.58412838,0.470046878,738.446228,29.42334938,7.217633247,1.861564994
-148,71,2,-50.0,3.852070332,8.58412838,0.470046878,738.446228,29.42334938,7.217633247,1.861564994
-148,71,2,-50.0,3.852070332,8.58412838,0.470046878,738.446228,29.42334938,7.217633247,1.861564994
-148,71,2,-50.0,3.852070332,8.58412838,0.470046878,738.446228,29.42334938,7.217633247,1.861564994
-147,71,2,-382.0,,8.605239868,,676.3286743,29.42745972,,1.68712604
-147,71,2,-382.0,,8.605239868,,676.3286743,29.42745972,,1.68712604
-147,71,2,-382.0,,8.605239868,,676.3286743,29.42745972,,1.68712604
-147,71,2,-382.0,,8.605239868,,676.3286743,29.42745972,,1.68712604
-147,71,2,-382.0,,8.605239868,,676.3286743,29.42745972,,1.68712604
-144,71,2,-1144.0,3.757463217,8.691147804,0.5338125229999999,921.0241699,29.36142921,10.36318016,1.025269032
-144,71,2,-1144.0,3.757463217,8.691147804,0.5338125229999999,921.0241699,29.36142921,10.36318016,1.025269032
-61,71,2,-1133.0,2.0704844,8.756889343,0.675683618,524.5564575,30.97929001,4.916941166,2.236949921
-60,71,2,-515.0,2.137171984,8.927922249,0.643812478,502.7156677,31.22963905,4.729613304,2.191660881
-16,71,2,-1482.0,6.183538914,8.033082962,0.5157461170000001,516.3480225,33.01039886,3.589347601,-0.331305802
-15,71,2,-1099.0,6.207179546,8.120346069,0.505355477,542.2572632,33.36285019,3.508855343,-0.139193803
-14,71,2,-465.0,6.236558437,8.200155257999999,0.495035172,582.729187,33.55160904,3.456800699,0.163190693
